========================================La matrice des p_values pour 3 lags est
========================================                  Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
L4.Δ_log_ETHUSDT       0.805647       0.756895       0.369684
L4.Δ_log_SOLUSDT       0.178926       0.414761       0.643549
L5.Δ_log_BTCUSDT       0.494073       0.249284       0.956193
L5.Δ_log_ETHUSDT       0.808003       0.808575       0.620767
L5.Δ_log_SOLUSDT       0.225806       0.726807       0.193204
L6.Δ_log_BTCUSDT       0.594211       0.827428       0.423172
L6.Δ_log_ETHUSDT       0.597736       0.591617       0.431126
L6.Δ_log_SOLUSDT       0.535690       0.846438       0.654091
L7.Δ_log_BTCUSDT       0.137595       0.074770       0.019592
L7.Δ_log_ETHUSDT       0.739723       0.502429       0.284655
L7.Δ_log_SOLUSDT       0.091278       0.002590       0.000037
L8.Δ_log_BTCUSDT       0.704381       0.191214       0.575144
L8.Δ_log_ETHUSDT       0.428686       0.019994       0.745164
L8.Δ_log_SOLUSDT       0.174972       0.062207       0.514135
L9.Δ_log_BTCUSDT       0.468550       0.671892       0.497130
L9.Δ_log_ETHUSDT       0.670604       0.908157       0.087446
L9.Δ_log_SOLUSDT       0.796671       0.635979       0.165007========================================La matrice de corrélation pour 9 lags est
========================================               Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
Δ_log_BTCUSDT       1.000000       0.789850       0.757605
Δ_log_ETHUSDT       0.789850       1.000000       0.747587
Δ_log_SOLUSDT       0.757605       0.747587       1.000000========================================La matrice des p_values pour 10 lags est
========================================                   Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
const                   0.554542       0.671109       0.779427
L1.Δ_log_BTCUSDT        0.000157       0.121181       0.072010
L1.Δ_log_ETHUSDT        0.858144       0.714727       0.193891
L1.Δ_log_SOLUSDT        0.000042       0.002302       0.040645
L2.Δ_log_BTCUSDT        0.462164       0.949013       0.891142
L2.Δ_log_ETHUSDT        0.404118       0.298559       0.001558
L2.Δ_log_SOLUSDT        0.025546       0.246811       0.009859
L3.Δ_log_BTCUSDT        0.009304       0.023510       0.001232
L3.Δ_log_ETHUSDT        0.218782       0.045780       0.002310
L3.Δ_log_SOLUSDT        0.444566       0.594906       0.973308
L4.Δ_log_BTCUSDT        0.841996       0.849379       0.681730
L4.Δ_log_ETHUSDT        0.771201       0.777013       0.374993
L4.Δ_log_SOLUSDT        0.175592       0.416128       0.642832
L5.Δ_log_BTCUSDT        0.494292       0.250202       0.994248
L5.Δ_log_ETHUSDT        0.816966       0.793393       0.572327
L5.Δ_log_SOLUSDT        0.226896       0.741922       0.184623
L6.Δ_log_BTCUSDT        0.589584       0.845371       0.444817
L6.Δ_log_ETHUSDT        0.608853       0.598535       0.428539
L6.Δ_log_SOLUSDT        0.532017       0.817335       0.620064
L7.Δ_log_BTCUSDT        0.151302       0.085455       0.022081
L7.Δ_log_ETHUSDT        0.707522       0.479472       0.274831
L7.Δ_log_SOLUSDT        0.091681       0.003026       0.000038
L8.Δ_log_BTCUSDT        0.735131       0.202169       0.561284
L8.Δ_log_ETHUSDT        0.424504       0.018463       0.714077
L8.Δ_log_SOLUSDT        0.157331       0.050583       0.488349
L9.Δ_log_BTCUSDT        0.465323       0.672683       0.614256
L9.Δ_log_ETHUSDT        0.618785       0.889106       0.094417
L9.Δ_log_SOLUSDT        0.726885       0.612730       0.236406
L10.Δ_log_BTCUSDT       0.741587       0.924882       0.243624
L10.Δ_log_ETHUSDT       0.619486       0.185241       0.790592
L10.Δ_log_SOLUSDT       0.906084       0.521797       0.168831========================================La matrice de corrélation pour 10 lags est
========================================               Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
Δ_log_BTCUSDT       1.000000       0.789870       0.757913
Δ_log_ETHUSDT       0.789870       1.000000       0.747801
Δ_log_SOLUSDT       0.757913       0.747801       1.000000========================================La matrice des p_values pour 11 lags est
========================================                   Δ_log_BTCUSDT  Δ_log_ETHUSDT  Δ_log_SOLUSDT
const                   0.538602       0.682957       0.818989
L1.Δ_log_BTCUSDT        0.000163       0.130158       0.068060
L1.Δ_log_ETHUSDT        0.871531       0.690910       0.176530
L1.Δ_log_SOLUSDT        0.000040       0.002393       0.044193
L2.Δ_log_BTCUSDT        0.453995       0.968462       0.917141
L2.Δ_log_ETHUSDT        0.413674       0.296301       0.001596
L2.Δ_log_SOLUSDT        0.026592       0.232541       0.009279
L3.Δ_log_BTCUSDT        0.009022       0.022704       0.001098
L3.Δ_log_ETHUSDT        0.209443       0.038772       0.001680
L3.Δ_log_SOLUSDT        0.445953       0.613479       0.952893
L4.Δ_log_BTCUSDT        0.838285       0.878156       0.688759
L4.Δ_log_ETHUSDT        0.768157       0.764885       0.374638
L4.Δ_log_SOLUSDT        0.184159       0.395137       0.632571
L5.Δ_log_BTCUSDT        0.486993       0.255564       0.980891
L5.Δ_log_ETHUSDT        0.803628       0.807566       0.590949
L5.Δ_log_SOLUSDT        0.230756       0.727462       0.192941
L6.Δ_log_BTCUSDT        0.562985       0.831867       0.401641
L6.Δ_log_ETHUSDT        0.576426       0.595718       0.386232
L6.Δ_log_SOLUSDT        0.529519       0.836555       0.627205
L7.Δ_log_BTCUSDT        0.151499       0.093068       0.023611
L7.Δ_log_ETHUSDT        0.707807       0.481755       0.274002
L7.Δ_log_SOLUSDT        0.089886       0.003437       0.000040
L8.Δ_log_BTCUSDT        0.747069       0.194209       0.556969
L8.Δ_log_ETHUSDT        0.433792       0.018453       0.721964
L8.Δ_log_SOLUSDT        0.167124       0.058609       0.548396
L9.Δ_log_BTCUSDT        0.455018       0.666501       0.582224
L9.Δ_log_ETHUSDT        0.627344       0.867144       0.093708
L9.Δ_log_SOLUSDT        0.724270       0.570473       0.210976
L10.Δ_log_BTCUSDT       0.822502       0.915339       0.324709
